,Comment,Description,ID,Link1,Link2,String,Type,user-agent
49,,SharewarePlaza link checking,id_a_f_32,http://www.sharewareplaza.com,,Agent-SharewarePlazaFileCheckBot/2.0+(+http://www.SharewarePlaza.com),R,"
"
50,,Linkomatic submission verifier,id_a_f_33,http://www.linkomatic.com/,,AgentName/0.1 libwww-perl/5.48,R,"
"
51,,21seek.com (China) robot (218.17.90.xxx),id_a_f_34,http://www.21seek.com,,AIBOT/2.1 By +(www.21seek.com A Real artificial intelligence search engine China),R,"
"
52,72.44.35.2xx,AideRss - Postrank RSS and Blog filtering,id_a_f_130807_1,http://www.aiderss.com/,,AideRSS/1.0 (aiderss.com),C,"
"
53,s. also - np/0.1_(np;_http://www.nameprotect.com... - abot/0.1 (abot; http://www.abot.com...,Nameprotect copyright search robot (24.177.134.x),id_a_f_35,http://www.nameprotect.com/,,aipbot/1.0 (aipbot; http://www.aipbot.com; aipbot@aipbot.com),R,"
"
54,s. also - np/0.1_(np;_http://www.nameprotect.com... - abot/0.1 (abot; http://www.abot.com...,Nameprotect copyright search robot (24.177.134.x),id_a_f_36,http://www.nameprotect.com/,,aipbot/2-beta (aipbot dev; http://aipbot.com; aipbot@aipbot.com),R,"
"
55,,Akregator news feed reader for KDE,id_a_f_291108_1,http://akregator.kde.org/,,Akregator/1.2.9; librss/remnants,B,"
"
56,,Aladin robot,id_a_f_37,http://www.aladin.de,,Aladin/3.324,R,"
"
57,,Phone.com UP.Browser for mobiles on Alcatel cellphone,id_a_f_180408_1,http://www.openwave.com,,Alcatel-BG3/1.0 UP.Browser/5.0.3.1.2,B,"
"
58,,Aleksika Danmark - Search engine optimization spider,id_a_f_38,http://www.aleksika.com,,Aleksika Spider/1.0 (+http://www.aleksika.com/),R,"
"
59,,Alertinfo - French version of Feedreader 3.xx ,id_a_f_291108_2,http://www.feedreader.com/,http://www.geste.fr/alertinfo/home.html,AlertInfo 2.0 (Powered by Newsbrain),B,"
"
60,,Vestris robot,id_a_f_39,http://alkaline.vestris.com/,,AlkalineBOT/1.3,R,"
"
61,,Vestris robot,id_a_f_40,http://alkaline.vestris.com/,,AlkalineBOT/1.4 (1.4.0326.0 RTM),R,"
"
62,,Allesklar.de robot,id_a_f_41,http://www.allesklar.de,,Allesklar/0.1 libwww-perl/5.46,R,"
"
63,,Alligator download manager,id_a_f_42,http://www.nearsoftware.com,,Alligator 1.31 (www.nearsoftware.com),D,"
"
64,67.205.96.xxx/67.205.104.xx,Unknown robot from Allrati.com,id_a_f_011108_1,http://www.allrati.com/,,Allrati/1.1 (+),R,"
"
65,,Altavista robot,id_a_f_43,http://www.altavista.com,,AltaVista Intranet V2.0 AVS EVAL search@freeit.com,R,"
"
66,,Altavista robot,id_a_f_44,http://www.altavista.com,,AltaVista Intranet V2.0 Compaq Altavista Eval sveand@altavista.net,R,"
"
67,,Altavista robot,id_a_f_45,http://www.altavista.com,,AltaVista Intranet V2.0 evreka.com crawler@evreka.com,R,"
"
68,,Altavista robot,id_a_f_46,http://www.altavista.com,,AltaVista V2.0B crawler@evreka.com,R,"
"
69,,Amaya - W3C's Editor/Browser,id_a_f_280209_1,http://www.w3.org/Amaya/,,amaya/x.xx libwww/x.x.x,B,"
"
70,64.111.217.9x,Amfibi Search robot,id_a_f_47,http://www.amfibi.com/,,AmfibiBOT,R,"
"
71,64.111.217.9x,Amfibi Search robot,id_a_f_48,http://www.amfibi.com/,,Amfibibot/0.06 (Amfibi Web Search; http://www.amfibi.com; agent@amfibi.com),R,"
"
72,64.111.217.9x,Amfibi Search robot,id_a_f_141105_2,http://www.amfibi.com/,,Amfibibot/0.07 (Amfibi Robot; http://www.amfibi.com; agent@amfibi.com),R,"
"
73,s. also libwww-perl/5.65,amibot - Amidalla search engine robot (62.241.33.xx),id_a_f_49,http://www.amidalla.com/,,amibot,R,"
"
74,,AWeb Amiga browser,id_a_f_50,http://www.amitrix.com/aweb.html,,Amiga-AWeb/3.4.167SE,B,"
"
75,,Voyager - Amiga browser,id_a_f_51,http://www.vapor.com/voyager/,,AmigaVoyager/3.4.4 (MorphOS/PPC native),B,"
"
76,,Amiga Miami TCP Stack,id_a_f_091205_1,http://home.ptd.net/~strdustr/amirc/Netware.html,,AmiTCP Miami (AmigaOS 2.04),,"
"
77,,NF embedded browser on Amois Skypephone,id_a_f_210608_1,http://3skypephone.com/,,Amoi 8512/R21.0 NF-Browser/3.3,B,"
"
78,s. also aranhabot,Amazon.com robot for checking their affiliate sites,id_a_f_190206_3,,,amzn_assoc,C,"
"
79,,Annomille Italian historical oriented robot,id_a_f_52,http://www.annomille.it,,AnnoMille spider 0.1 alpha - http://www.annomille.it,R,"
"
80,,annotate Google - Firefox extension for annotating Google search results,id_a_f_53,http://ponderer.org/annotate_google,,annotate_google; http://ponderer.org/download/annotate_google.user.js,B,"
"
81,,Megaproxy user,id_a_f_54,http://www.megaproxy.com,,Anonymized by ProxyOS: http://www.megaproxy.com,P,"
"
82,,faked user agent,id_a_f_55,,,Anonymizer/1.1,,"
"
83,,AnswerBus natural language search using COLLATE technology,id_a_f_56,http://www.answerbus.com,http://collate.dfki.de/kurzdarstellung.html,AnswerBus (http://www.answerbus.com/),R,"
"
84,,AnswerChase search tool,id_a_f_57,http://www.answerchase.com,,AnswerChase PROve x.0,,"
"
85,,AnswerChase search tool,id_a_f_58,http://www.answerchase.com,,AnswerChase x.0,,"
"
86,s. also Mozilla/x.xx (compatible; ANTFresco....),ANT Fresco Browser,id_a_f_59,http://www.antlimited.com/products/fresco.htm,,ANTFresco/x.xx,B,"
"
87,,Antibot (discontinued) robot,id_a_f_60,http://www.antidot.net,,antibot-V1.1.5/i586-linux-2.2,R,"
"
88,,Anzwers (Yahoo) Australia robot,id_a_f_61,http://au.anzwers.yahoo.com/,,AnzwersCrawl/2.0 (anzwerscrawl@anzwers.com.au;Engine),R,"
"
89,216.240.143.xx,Apexoo Search spider,id_a_f_030206_1,http://www.apexoo.com/,,Apexoo Spider 1.x,R,"
"
90,,JavaOS app. for SEGA Saturn Internet and Sanyo Internet-TV,id_a_f_62,,,Aplix HTTP/1.0.1,B,"
"
91,,JavaOS app. for Sanyo Internet-TV,id_a_f_63,,,Aplix_SANYO_browser/1.x (Japanese),B,"
"
92,,JavaOS app. for SEGA Saturn Internet,id_a_f_64,,,Aplix_SEGASATURN_browser/1.x (Japanese),B,"
"
93,,Aport robot,id_a_f_65,http://www.aport.ru,,Aport,R,"
"
94,,Walhello Internet Search robot,id_a_f_66,http://www.walhello.com,,appie 1.1 (www.walhello.com),R,"
"
95,,CoreMedia player on Apple iPhone,id_a_f_140608_1,http://www.apple.com/iphone/,,Apple iPhone v1.1.4 CoreMedia v1.0.0.4A102,B,"
"
96,,PubSub - Mac OS X utility for managing RSS/Atom subscriptions via the PubSub framework,id_a_f_070209_1,http://developer.apple.com/documentation/Darwin/Reference/ManPages/man1/pubsub.1.html,,Apple-PubSub/65.1.1,B,"
"
97,209.85.31.2xx,Araby search - Arabia,id_a_f_120707_1,http://www.araby.com/,,ArabyBot (compatible; Mozilla/5.0; GoogleBot; FAST Crawler 6.4; http://www.araby.com;),R,"
"
98,s.also Covac TexAs Arachbot,Covac Arachnid Web Crawler,id_a_f_260608_1,http://www.covac-software.com/,,ArachBot,R,"
"
99,,Euroseek spider,id_a_f_67,http://www.euroseek.com,,Arachnoidea (arachnoidea@euroseek.com),R,"
"
100,s. also amzn_assoc,Amazon.com robot for checking their affiliate sites,id_a_f_190206_2,,,aranhabot,C,"
"
101,,Excite spider,id_a_f_68,http://www.excite.com,,ArchitextSpider,R,"
"
102,s.also - InternetArchive/0.8-dev - Mozilla/5.0 (compatible;archive.org_bot/...,Heritrix - The Internet Archive's open-source crawler (207.241.225.2xx),id_a_f_69,http://www.archive.org/,,archive.org_bot,R,"
"
103,s. also Simpy,Simpy Bookmarklet crawler (69.55.233.xx),id_a_f_70,http://www.simpy.com/,,Argus/1.1 (Nutch; http://www.simpy.com/bot.html; feedback at simpy dot com),C,"
"
104,,Arikus inContext search engine software,id_a_f_031205_1,http://www.arikus.com/inContext-enterprise.html,,Arikus_Spider,R,"
"
105,193.136.192.xx,Tomba project: the Portuguese web archive,id_a_f_210208_1,http://arquivo-web.fccn.pt/,http://arquivo-web.fccn.pt/crawler?set_language=en,Arquivo-web-crawler  (compatible; heritrix/1.12.1 +http://arquivo-web.fccn.pt),R,"
"
106,62.68.194.2xx,Asaha search robot (Turkey),id_a_f_251007_1,http://www.asaha.com/,,ASAHA Search Engine Turkey V.001 (http://www.asaha.com/),R,"
"
107,,ASAHINA Antenna information detecting agent,id_a_f_71,http://masshy.fastwave.gr.jp/hina/release/,,Asahina-Antenna/1.x,R,"
"
108,,ASAHINA Antenna information detecting agent,id_a_f_72,http://masshy.fastwave.gr.jp/hina/release/,,Asahina-Antenna/1.x (libhina.pl/x.x ; libtime.pl/x.x),R,"
"
109,,Ask 24x Info robot,id_a_f_73,http://ask.24x.info/,,ask.24x.info,R,"
"
110,,Ask About Oil - Petroleum related search (24.227.212.xxx) using Nutch,id_a_f_74,http://askaboutoil.com/search.jsp,http://www.nutch.org,AskAboutOil/0.06-rcp (Nutch; http://www.nutch.org/docs/en/bot.html; nutch-agent@askaboutoil.com),R,"
"
111,131.112.125.1xx,askEd! / Inferret search (Japan) robot using Nutch,id_a_f_120806_1,http://asked.jp/,,asked/Nutch-0.8 (web crawler; http://asked.jp; epicurus at gmail dot com),R,"
"
112,,ASPSeek search engine software -Yahoo-Inc. / Telecom Canada robot ,id_a_f_75,http://www.aspseek.org,,ASPSeek/1.2.5,R,"
"
113,,Swsoft.net robot using Aspseek,id_a_f_76,http://www.aspseek.com,,ASPseek/1.2.9d,R,"
"
114,,ASPSeek search engine software,id_a_f_77,http://www.aspseek.org,,ASPSeek/1.2.x,R,"
"
115,,ASPSeek search engine software,id_a_f_78,http://www.aspseek.org,,ASPSeek/1.2.xa,R,"
"
116,,ASPSeek search engine software,id_a_f_79,http://www.aspseek.org,,ASPseek/1.2.xx,R,"
"
117,,ASPSeek search engine software,id_a_f_80,http://www.aspseek.org,,ASPSeek/1.2.xxpre,R,"
"
118,site is down,Associative Sort robot,id_a_f_81,http://pcmath126.unice.fr/assort-robot.html,,ASSORT/0.10,R,"
"
119,s. also Mozilla/4.0 (compatible; MSIE 6.0 compatible; Asterias Crawler ...,Singingfish media spider (64.12.186.2xx) via AOL search,id_a_f_82,http://search.singingfish.com/sfw/home.jsp,,asterias/2.0,R,"
"
120,,Atlocal local business search robot,id_a_f_83,http://www.atlocal.com/,,AtlocalBot/1.1 +(http://www.atlocal.com/local-web-site-owner.html),R,"
"
121,,Atomic Email Hunter email extracing and harvesting,id_a_f_041207_2,,,Atomic_Email_Hunter/4.0,S,"
"
122,,Atomz robot,id_a_f_84,http://www.atomz.com,,Atomz/1.0,R,"
"
123,,atSpider (ceased) email harvester / spambot,id_a_f_85,,,atSpider/1.0,S,"
"
124,85.88.35.xx,Attentio social media monitoring and analysing ,id_a_f_060707_1,http://www.attentio.com/,,Attentio/Nutch-0.9-dev (Attentio's beta blog crawler; www.attentio.com; info@attentio.com),R,"
"
125,,Samsung SPH-A660 phone with Sprint software,id_a_f_231105_2,http://www1.sprintpcs.com/explore/showcase/Showcase.jsp?scTopic=pcsVision,,AU-MIC/2.0 MMP/2.0,B,"
"
126,,Audiovox SMT5600 (AT&T) Smartphone mobile phone browser,id_a_f_240208_1,http://www.audiovox.com/,http://www.audiovox.com/manuals/owners/SMT%205600%20QSG%209-7%20FINAL.pdf,AUDIOVOX-SMT5600,B,"
"
127,,Augurnet Swiss (was www.augurnet.ch) search robot,id_a_f_86,,,augurfind,R,"
"
128,,Augurnet Swiss (was www.augurnet.ch) search robot,id_a_f_87,,,augurnfind V-1.x,R,"
"
129,was http://autoemailspider.com - site is dead,Auto Email Pro Email harvester,id_a_f_88,,,autoemailspider,S,"
"
130,s. Linkscan/x ?,Linkscan tool from Elsop,id_a_f_89,http://www.elsop.com/linkscan/,,autohttp,C,"
"
131,84.104.43.x,Autowebdir - The Automatically Generated Web Directory,id_a_f_050208_1,http://www.autowebdir.com/,,autowebdir 1.1 (www.autowebdir.com),R,"
"
132,,Altavista robot ??,id_a_f_90,http://www.altavista.com/,,AV Fetch 1.0,R,"
"
133,,Avant Browser - IE based browser,id_a_f_91,http://www.avantbrowser.com,,Avant Browser (http://www.avantbrowser.com),B,"
"
134,,National Research Council Canada robot,id_a_f_92,http://www.nrc-cnrc.gc.ca/main_e.html,,AVSearch-1.0(peter.turney@nrc.ca),R,"
"
135,,Unknown robot from 205.203.108.xx (telerate.com),id_a_f_93,,,AVSearch-2.0-fusionIdx-14-CompetitorWebSites,,"
"
136,,Altavista robot,id_a_f_94,http://www.altavista.com/,,AVSearch-3.0(AltaVista/AVC),R,"
"
137,,AWeb Amiga browser,id_a_f_95,http://aweb.sunsite.dk/,,AWeb,B,"
"
138,,Axada search Germany robot,id_a_f_96,http://www.axada.de,,axadine/ (Axadine Crawler; http://www.axada.de/; ),R,"
"
139,,Axmo search robot,id_a_f_97,http://www.axmo.com,,AxmoRobot - Crawling your site for better indexing on www.axmo.com search engine.,R,"
"
140,,Azureus Java BitTorrent Client,id_a_f_250306_1,http://azureus.sourceforge.net/,,Azureus 2.x.x.x,D,"
"
141,84.255.237.2xx,Babaloo search robot (Slovenia),id_a_f_131208_1,http://www.babaloo.si/,,BabalooSpider/1.3 (BabalooSpider; http://www.babaloo.si; spider@babaloo.si),R,"
"
142,,BaBoom Web Portal (ODP) robot (66.98.254.xx),id_a_f_98,http://www.baboom.us,,BaboomBot/1.x.x (+http://www.baboom.us),R,"
"
143,,BackStreet Browser - Offline browser / website downloader,id_a_f_050406_1,http://www.spadixbd.com/backstreet/,,BackStreet Browser 3.x,D,"
"
144,119.63.193.94.[x]xx,Baidu search (Japan) image crawler,id_a_f_140508_1,http://www.baidu.jp/,,BaiduImagespider+(+http://www.baidu.jp/search/s308.html),R,"
"
145,,Baidu spidering engine - used by diff. IPs,id_a_f_99,http://www.baidu.com,,BaiDuSpider,R,"
"
146,,Baidu spidering engine - used by diff. IPs,id_a_f_080608_1,http://www.baidu.com,,Baiduspider+(+http://help.baidu.jp/system/05.html),R,"
"
147,,Baidu spidering engine - used by diff. IPs,id_a_f_100,http://www.baidu.com,,Baiduspider+(+http://www.baidu.com/search/spider.htm),R,"
"
148,119.63.193.[x]xx,Baidu search (Japan) crawler,id_a_f_080407_1,http://www.baidu.jp,,Baiduspider+(+http://www.baidu.com/search/spider_jp.html),R,"
"
149,,Balihoo - Vertical search engine crawler (beta),id_a_f_031107_1,http://www.balihoo.com/,http://www.balihoo.com/pdfs/BalihooFactSheet.pdf,Balihoo/Nutch-1.0-dev (Crawler for Balihoo.com search engine - obeys robots.txt and robots meta tags ; http://balihoo.com/index.aspx; robot at balihoo dot com),R,"
"
150,s. also Mozilla/5.0 (compatible; BanBots/2.0b..,Project BanBots Perl script robot,id_a_f_101,http://www.banbots.com/,,BanBots/1.2 (spider@banbots.com),C,"
"
151,,Barca Pro email & PIM software,id_a_f_140506_3,http://www.pocosystems.com/home/index.php?option=com_content&task=view&id=105&Itemid=54,,Barca/2.0.xxxx,B,"
"
152,,Barca Pro email & PIM software,id_a_f_120206_2,http://www.pocosystems.com/home/index.php?option=com_content&task=view&id=105&Itemid=54,,BarcaPro/1.4.xxxx,B,"
"
153,64.246.56.xx,Barrahome crawler,id_a_f_102,http://www.barrahome.org,,BarraHomeCrawler (albertof@barrahome.org),R,"
"
154,204.71.191.1xx,Unknown user agent from Microsoft,id_a_f_011006_1,,,bCentral Billing Post-Process,,"
"
155,208.144.233.xxx,Business.com robot,id_a_f_103,http://www.business.com,,bdcindexer_2.6.2 (research@bdc),R,"
"
156,,Brandimensions Brand Protection robot,id_a_f_104,http://www.brandimensions.com/,,BDFetch,R,"
"
157,,Bdncentral Sitesearch robot,id_a_f_105,http://www.bdncentral.com,,BDNcentral Crawler v2.3 [en] (http://www.bdncentral.com/robot.html) (X11; I; Linux 2.0.44 i686),R,"
"
158,,beammachine web directory (Germany) link checking,id_a_f_111205_3,http://www.beammachine.net/de/,,BeamMachine/0.5 (dead link remover of www.beammachine.net),R C,"
"
159,,Beauty robot for Cosmoty - German beauty and wellness search,id_a_f_106,http://www.cosmoty.de,http://www.uchoose.de/Projekte/Lifestyle/beauty/,beautybot/1.0 (+http://www.uchoose.de/crawler/beautybot/),R,"
"
160,68.6.204.2xx,A Passion for Jazz music related search robot,id_a_f_230406_1,http://www.apassion4jazz.net/,,BebopBot/2.5.1 ( crawler http://www.apassion4jazz.net/bebopbot.html ),R,"
"
161,,LinkcheckerBeepware (site is down) web directory link checking,id_a_f_107,http://directory.beebware.co.uk,,BeebwareDirectory/v0.01,C,"
"
162,,Big Brother link checking tool,id_a_f_108,http://pauillac.inria.fr,,Big Brother (http://pauillac.inria.fr/~fpottier/),C,"
"
163,216.89.111.x,GoonGee.com link popularity checking,id_a_f_130606_1,http://www.goongee.com/big-fish/,,Big Fish v1.0,C,"
"
164,,BB4 network monitoring,id_a_f_109,http://www.bb4.com,,BigBrother/1.6e,C,"
"
165,,BigClique Search robot,id_a_f_110,http://www.bigclique.com,,BigCliqueBOT/1.03-dev (bigclicbot; http://www.bigclique.com; bot@bigclique.com),R,"
"
166,,Biglotron search (France) robot,id_a_f_080206_4,http://www.biglotron.com/,,BIGLOTRON (Beta 2;GNU/Linux),R,"
"
167,72.0.207.1xx,Bigsearch.ca search robot,id_a_f_171106_2,http://www.bigsearch.ca/,,Bigsearch.ca/Nutch-x.x-dev (Bigsearch.ca Internet Spider; http://www.bigsearch.ca/; info@enhancededge.com),R,"
"
168,,Bilbo - web frontend for the Nessus Security Scanner,id_a_f_111,http://home.broadpark.no/%7Etnilsen-1/Linux/Bilbo_-_Nessus_WEB/bilbo_-_nessus_web.html,,Bilbo/2.3b-UNIX,C,"
"
169,212.156.230.2xx,Bilgi.com (Beta) search robot - Turkey,id_a_f_170806_1,http://www.bilgi.com/,,BilgiBetaBot/0.8-dev (bilgi.com (Beta) ; http://lucene.apache.org/nutch/bot.html; nutch-agent@lucene.apache.org),R,"
"
170,212.156.230.2xx,Bilgi.com (Beta) search robot - Turkey,id_a_f_080607_1,http://www.bilgi.com/,,BilgiBot/1.0(beta) (http://www.bilgi.com/; bilgi at bilgi dot com),R,"
"
171,,Carnegie Mellon School robot/link checking ?,id_a_f_112,http://www.cs.cmu.edu,,billbot wjj@cs.cmu.edu,C,"
"
172,,Bitacle Blog Search Archive robot,id_a_f_050206_3,http://bitacle.org/,,Bitacle bot/1.1,R,"
"
173,,Bitacle Blog Search Archive robot,id_a_f_050206_2,http://bitacle.org/,,Bitacle Robot (V:1.0;) (http://www.bitacle.com),R,"
"
174,,Biyubi Navigator - Mexican browser for Fenix OS,id_a_f_113,http://www.biyubi.com,,Biyubi/x.x (Sistema Fenix; G11; Familia Toledo; es-mx),B,"
"
175,,Blackberry Wireless Internet browser via Google WAP Proxy,id_a_f_114,http://www.blackberry.com/products/service/web.shtml,http://www.openwave.com,BlackBerry7520/4.0.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/5.0.3.3 UP.Link/5.1.2.12 (Google WAP Proxy/1.0),B P,"
"
176,,FS Consulting (was www.fsconsult.net) Black Widow web crawler,id_a_f_115,,,BlackWidow,R,"
"
177,,BlackWidow web site scanner / downloading tool,id_a_f_010306_1,http://www.softbytelabs.com/BlackWidow,,BlackWidow,D,"
"
178,203.87.123.1xx,Blaiz Enterprises RawGrunt search,id_a_f_116,http://www.rawgrunt.com/,http://www.blaiz.net,Blaiz-Bee/1.0 (+http://www.blaiz.net),R,"
"
179,203.87.123.1xx,Blaiz Enterprises RawGrunt search,id_a_f_160307_1,http://www.rawgrunt.com/,http://www.blaiz.net,Blaiz-Bee/2.00.8222 (BE Internet Search Engine http://www.rawgrunt.com),R,"
"
180,203.87.123.1xx,Blaiz Enterprises RawGrunt search,id_a_f_240706_1,http://www.rawgrunt.com/,http://www.blaiz.net,Blaiz-Bee/2.00.xxxx (+http://www.blaiz.net),R,"
"
